Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
BDX,BECTON DICKINSON,Equity,0.27,247.45,"360,128.00","89,113,673.60","89,113,673.60",Health Care,2087807,US0758871091,New York Stock Exchange Inc.
WLTW,WILLIS TOWERS WATSON PLC,Equity,0.27,196.02,"454,404.00","89,072,272.08","89,072,272.08",Financials,BDB6Q21,IE00BDB6Q211,NASDAQ
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Equity,0.26,74.25,"1,175,126.00","87,253,105.50","87,253,105.50",Information Technology,B5367T7,US0995021062,New York Stock Exchange Inc.
DLTR,DOLLAR TREE INC,Equity,0.26,77.56,"1,113,461.00","86,360,035.16","86,360,035.16",Consumer Discretionary,2272476,US2567461080,NASDAQ
CMS,CMS ENERGY CORP,Equity,0.26,62.33,"1,377,497.00","85,859,388.01","85,859,388.01",Utilities,2219224,US1258961002,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.26,49.59,"1,722,746.00","85,430,974.14","85,430,974.14",Consumer Staples,2868165,US8718291078,New York Stock Exchange Inc.
MAA,MID AMERICA APARTMENT COMMUNITIES,Equity,0.25,116.65,"700,808.00","81,749,253.20","81,749,253.20",Real Estate,2589132,US59522J1034,New York Stock Exchange Inc.
FNF,FIDELITY NATIONAL FINANCIAL INC,Equity,0.23,28.86,"2,642,529.00","76,263,386.94","76,263,386.94",Financials,BNBRDD4,US31620R3030,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,0.23,88.74,"852,583.00","75,658,215.42","75,658,215.42",Consumer Discretionary,2746711,US7782961038,NASDAQ
GRMN,GARMIN LTD,Equity,0.23,78.65,"960,398.00","75,535,302.70","75,535,302.70",Consumer Discretionary,B3Z5T14,CH0114405324,NASDAQ
FLT,FLEETCOR TECHNOLOGIES INC,Equity,0.22,224.99,"329,043.00","74,031,384.57","74,031,384.57",Information Technology,B4R28B3,US3390411052,New York Stock Exchange Inc.
GIS,GENERAL MILLS INC,Equity,0.22,57.4,"1,269,346.00","72,860,460.40","72,860,460.40",Consumer Staples,2367026,US3703341046,New York Stock Exchange Inc.
WPC,W. P. CAREY REIT INC,Equity,0.22,70,"1,037,423.00","72,619,610.00","72,619,610.00",Real Estate,B826YT8,US92936U1097,New York Stock Exchange Inc.
CPB,CAMPBELL SOUP,Equity,0.22,47.75,"1,507,423.00","71,979,448.25","71,979,448.25",Consumer Staples,2162845,US1344291091,New York Stock Exchange Inc.
NVR,NVR INC,Equity,0.21,"2,928.01","24,305.00","71,165,283.05","71,165,283.05",Consumer Discretionary,2637785,US62944T1051,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.21,218.21,"322,144.00","70,295,042.24","70,295,042.24",Health Care,2023607,US0311621009,NASDAQ
USD,USD CASH,Cash,0.21,100,"69,671,367.00","69,671,367.34","69,671,367.34",Cash and/or Derivatives,-,-,-
Y,ALLEGHANY CORP,Equity,0.2,584.82,"115,001.00","67,254,884.82","67,254,884.82",Financials,2016801,US0171751003,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,0.19,254.3,"253,034.00","64,346,546.20","64,346,546.20",Information Technology,BDZ78H9,US11135F1012,NASDAQ
AMCR,AMCOR PLC,Equity,0.19,9.16,"6,993,112.00","64,056,905.92","64,056,905.92",Materials,BJ1F307,JE00BJ1F3079,New York Stock Exchange Inc.
RTX,RAYTHEON TECHNOLOGIES CORP,Equity,0.19,64.71,"977,663.00","63,264,572.73","63,264,572.73",Industrials,BM5M5Y3,US75513E1010,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.19,104.2,"600,476.00","62,569,599.20","62,569,599.20",Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
INTU,INTUIT INC,Equity,0.18,252.1,"240,571.00","60,647,949.10","60,647,949.10",Information Technology,2459020,US4612021034,NASDAQ
CINF,CINCINNATI FINANCIAL CORP,Equity,0.18,83.58,"719,346.00","60,122,938.68","60,122,938.68",Financials,2196888,US1720621010,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.17,75.34,"768,279.00","57,882,139.86","57,882,139.86",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
OMC,OMNICOM GROUP INC,Equity,0.17,56.8,"987,993.00","56,118,002.40","56,118,002.40",Communication,2279303,US6819191064,New York Stock Exchange Inc.
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,0.16,305.81,"177,287.00","54,216,137.47","54,216,137.47",Real Estate,BZ6TS23,US78410G1040,NASDAQ
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.16,35.38,"1,469,130.00","51,977,819.40","51,977,819.40",Real Estate,2211811,US6374171063,New York Stock Exchange Inc.
AAPL,APPLE INC,Equity,0.15,267.99,"186,430.00","49,961,375.70","49,961,375.70",Information Technology,2046251,US0378331005,NASDAQ
INVH,INVITATION HOMES INC,Equity,0.14,24.31,"1,938,385.00","47,122,139.35","47,122,139.35",Real Estate,BD81GW9,US46187W1071,New York Stock Exchange Inc.
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Equity,0.14,104.51,"450,634.00","47,095,759.34","47,095,759.34",Health Care,2923785,US9139031002,New York Stock Exchange Inc.
DRI,DARDEN RESTAURANTS INC,Equity,0.14,64.34,"718,563.00","46,232,343.42","46,232,343.42",Consumer Discretionary,2289874,US2371941053,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.14,57.14,"790,011.00","45,141,228.54","45,141,228.54",Information Technology,2463247,US4581401001,NASDAQ
PANW,PALO ALTO NETWORKS INC,Equity,0.13,177.88,"248,383.00","44,182,368.04","44,182,368.04",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.
UHAL,AMERCO,Equity,0.13,277.84,"158,498.00","44,037,084.32","44,037,084.32",Industrials,2028174,US0235861004,NASDAQ
GPC,GENUINE PARTS,Equity,0.13,71.67,"608,171.00","43,587,615.57","43,587,615.57",Consumer Discretionary,2367480,US3724601055,New York Stock Exchange Inc.
LNT,ALLIANT ENERGY CORP,Equity,0.12,53.14,"768,417.00","40,833,679.38","40,833,679.38",Utilities,2973821,US0188021085,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.12,1,"38,950,000.00","38,950,000.00","38,950,000.00",Cash and/or Derivatives,-,US0669224778,-
GOOG,ALPHABET INC CLASS C,Equity,0.12,"1,211.45","31,857.00","38,593,162.65","38,593,162.65",Communication,BYY88Y7,US02079K1079,NASDAQ
LNG,CHENIERE ENERGY INC,Equity,0.11,38.58,"970,548.00","37,443,741.84","37,443,741.84",Energy,2654364,US16411R2085,Nyse Mkt Llc
CHRW,CH ROBINSON WORLDWIDE INC,Equity,0.11,73.22,"500,929.00","36,678,021.38","36,678,021.38",Industrials,2116228,US12541W2098,NASDAQ
SIRI,SIRIUS XM HOLDINGS INC,Equity,0.11,5.25,"6,824,736.00","35,829,864.00","35,829,864.00",Communication,BGLDK10,US82968B1035,NASDAQ
NOC,NORTHROP GRUMMAN CORP,Equity,0.1,336.65,"101,720.00","34,244,038.00","34,244,038.00",Industrials,2648806,US6668071029,New York Stock Exchange Inc.
JNPR,JUNIPER NETWORKS INC,Equity,0.1,21.67,"1,567,427.00","33,966,143.09","33,966,143.09",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.
FLIR,FLIR SYSTEMS INC,Equity,0.1,34.5,"966,252.00","33,335,694.00","33,335,694.00",Information Technology,2344717,US3024451011,NASDAQ
VTR,VENTAS REIT INC,Equity,0.1,33.8,"981,875.00","33,187,375.00","33,187,375.00",Real Estate,2927925,US92276F1003,New York Stock Exchange Inc.
BFB,BROWN FORMAN CORP CLASS B,Equity,0.09,62.89,"500,830.00","31,497,198.70","31,497,198.70",Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
MTB,M&T BANK CORP,Equity,0.09,114.75,"254,846.00","29,243,578.50","29,243,578.50",Financials,2340168,US55261F1049,New York Stock Exchange Inc.
BLL,BALL CORP,Equity,0.09,69.94,"414,996.00","29,024,820.24","29,024,820.24",Materials,2073022,US0584981064,New York Stock Exchange Inc.
BURL,BURLINGTON STORES INC,Equity,0.08,176.89,"158,543.00","28,044,671.27","28,044,671.27",Consumer Discretionary,BF311Y5,US1220171060,New York Stock Exchange Inc.
COG,CABOT OIL & GAS CORP,Equity,0.08,18.88,"1,432,575.00","27,047,016.00","27,047,016.00",Energy,2162340,US1270971039,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.08,686.94,"39,197.00","26,925,987.18","26,925,987.18",Real Estate,BVLZX12,US29444U7000,NASDAQ
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.08,403.35,"66,311.00","26,746,541.85","26,746,541.85",Financials,B03Q9D0,US57060D1081,NASDAQ
ERIE,ERIE INDEMNITY CLASS A,Equity,0.08,166.09,"155,878.00","25,889,777.02","25,889,777.02",Financials,2311711,US29530P1021,NASDAQ
XRAY,DENTSPLY SIRONA INC,Equity,0.07,41.87,"590,731.00","24,733,906.97","24,733,906.97",Health Care,BYNPPC6,US24906P1093,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,0.07,300.01,"80,693.00","24,208,706.93","24,208,706.93",Consumer Staples,2701271,US22160K1051,NASDAQ
CDK,CDK GLOBAL INC,Equity,0.07,35.98,"668,271.00","24,044,390.58","24,044,390.58",Information Technology,BQXTWQ5,US12508E1010,NASDAQ
AWK,AMERICAN WATER WORKS INC,Equity,0.07,131.75,"180,887.00","23,831,862.25","23,831,862.25",Utilities,B2R3PV1,US0304201033,New York Stock Exchange Inc.
TEL,TE CONNECTIVITY LTD,Equity,0.07,71.17,"310,878.00","22,125,187.26","22,125,187.26",Information Technology,B62B7C3,CH0102993182,New York Stock Exchange Inc.
DHI,D R HORTON INC,Equity,0.06,41.04,"524,357.00","21,519,611.28","21,519,611.28",Consumer Discretionary,2250687,US23331A1097,New York Stock Exchange Inc.
LSXMA,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Equity,0.06,32.05,"650,723.00","20,855,672.15","20,855,672.15",Communication,BD8QGF7,US5312294094,NASDAQ
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.06,26.54,"767,986.00","20,382,348.44","20,382,348.44",Financials,2027342,US0268747849,New York Stock Exchange Inc.
SRE,SEMPRA ENERGY,Equity,0.06,130.53,"153,104.00","19,984,665.12","19,984,665.12",Utilities,2138158,US8168511090,New York Stock Exchange Inc.
LIN,LINDE PLC,Equity,0.06,189.48,"103,920.00","19,690,761.60","19,690,761.60",Materials,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,0.06,33.2,"580,833.00","19,283,655.60","19,283,655.60",Financials,2649100,US9497461015,New York Stock Exchange Inc.
CERN,CERNER CORP,Equity,0.06,68.38,"281,939.00","19,278,988.82","19,278,988.82",Health Care,2185284,US1567821046,NASDAQ
FOX,FOX CORP CLASS B,Equity,0.06,25.64,"747,395.00","19,163,207.80","19,163,207.80",Communication,BJJMGY5,US35137L2043,NASDAQ
EBAY,EBAY INC,Equity,0.06,33.83,"563,110.00","19,050,011.30","19,050,011.30",Consumer Discretionary,2293819,US2786421030,NASDAQ
DTE,DTE ENERGY,Equity,0.06,111.25,"168,835.00","18,782,893.75","18,782,893.75",Utilities,2280220,US2333311072,New York Stock Exchange Inc.
DGX,QUEST DIAGNOSTICS INC,Equity,0.06,89.77,"205,660.00","18,462,098.20","18,462,098.20",Health Care,2702791,US74834L1008,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.05,107.69,"165,406.00","17,812,572.14","17,812,572.14",Information Technology,2885409,US8825081040,NASDAQ
TSN,TYSON FOODS INC CLASS A,Equity,0.05,60.94,"274,353.00","16,719,071.82","16,719,071.82",Consumer Staples,2909730,US9024941034,New York Stock Exchange Inc.
OTIS,OTIS WORLDWIDE CORP,Equity,0.05,49.14,"318,853.00","15,668,436.42","15,668,436.42",Industrials,BK531S8,US68902V1070,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.05,110.36,"141,819.00","15,651,144.84","15,651,144.84",Health Care,2783815,US98956P1021,New York Stock Exchange Inc.
L,LOEWS CORP,Equity,0.04,39.42,"355,095.00","13,997,844.90","13,997,844.90",Financials,2523022,US5404241086,New York Stock Exchange Inc.
BG,BUNGE LTD,Equity,0.04,40.83,"341,110.00","13,927,521.30","13,927,521.30",Consumer Staples,2788713,BMG169621056,New York Stock Exchange Inc.
DELL,DELL TECHNOLOGIES INC CLASS C,Equity,0.04,41.56,"329,122.00","13,678,310.32","13,678,310.32",Information Technology,BHKD3S6,US24703L2025,New York Stock Exchange Inc.
HSIC,HENRY SCHEIN INC,Equity,0.04,52.25,"261,735.00","13,675,653.75","13,675,653.75",Health Care,2416962,US8064071025,NASDAQ
TFC,TRUIST FINANCIAL CORP,Equity,0.04,36.11,"355,080.00","12,821,938.80","12,821,938.80",Financials,BKP7287,US89832Q1094,New York Stock Exchange Inc.
AAP,ADVANCE AUTO PARTS INC,Equity,0.04,106.86,"113,951.00","12,176,803.86","12,176,803.86",Consumer Discretionary,2822019,US00751Y1064,New York Stock Exchange Inc.
EXPE,EXPEDIA GROUP INC,Equity,0.04,62.42,"190,622.00","11,898,625.24","11,898,625.24",Consumer Discretionary,B748CK2,US30212P3038,NASDAQ
CSFUT,CASH COLLATERAL USD CSFUT,Cash Collateral and Margins,0.03,100,"10,810,000.00","10,810,123.11","10,810,123.11",Cash and/or Derivatives,-,-,-
CARR,CARRIER GLOBAL CORP,Equity,0.03,14.78,"637,741.00","9,425,811.98","9,425,811.98",Industrials,BK4N0D7,US14448C1045,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.02,15.36,"521,796.00","8,014,786.56","8,014,786.56",Energy,2655408,US6745991058,New York Stock Exchange Inc.
OKE,ONEOK INC,Equity,0.02,28.4,"256,469.00","7,283,719.60","7,283,719.60",Energy,2130109,US6826801036,New York Stock Exchange Inc.
DJEM0,DOW JONES US REAL ESTATE JUN 20,Futures,0,311,"1,079.00",0,"33,556,900.00",Cash and/or Derivatives,-,-,Chicago Board Of Trade
ESM0,S&P500 EMINI JUN 20,Futures,0,"2,779.80",602,0,"83,671,980.00",Cash and/or Derivatives,-,-,Index And Options Market
